,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement,SpeedAverage,SpeedVariance,Air Temperature[F],Precipitation Level[mm],Normalized PKE 1,Normalized PKE 2
2776,4138,1819,531,408.06850023827934,8758.161998068166,3.0195833333333333,0.3855364786289773,0.1276787013536008,2500.0,1.5,44.89440203562341,775.3506183044037,21.79,0.0,80.2587905618167,10.19503555785239
2777,4139,1514,254,486.5408675867153,5607.474923281271,5.4582500000000005,0.6357495053494211,0.116474970063559,2500.0,1.8,41.86590909090909,370.6448488299855,-7.57,0.0,97.07045169312582,13.86720738473226
2778,4142,1775,202,629.6177875998569,4887.458006718925,12.502,1.3901874406960202,0.1111972037030891,2500.0,1.8,30.631188118811878,600.1589256320174,7.49,0.0,127.64287654011616,18.960215082881977
2779,4143,785,108,447.4291274148755,5613.285039777505,1.7178888888888892,0.524037545784845,0.3050474039236533,6000.0,6.0,34.79529737206086,421.93310804856634,12.05,0.0,163.85990961070084,28.432313083135302
2780,4144,431,507,185.10151310775657,7774.3307124023095,1.1693611111111109,0.269921787650066,0.2308284285199034,4000.0,2.4,42.484375,286.1099901574803,21.87,0.0,154.17481188513997,28.75482602619674
2781,4145,2691,255,409.3615978583113,5510.367998320125,4.233111111111111,0.7638927661808033,0.18045658290795397,4500.0,3.5,36.73952095808383,166.20491251380298,-1.65,0.0,147.66725307866298,27.389893716203616
2782,4146,2055,340,437.4773036830426,5202.263256802025,10.879111111111113,1.4839512277602154,0.1364037201756877,3500.0,3.5,42.52058823529412,964.8874804789174,20.5,0.0,70.14007055223863,9.961527529792646
2783,4147,857,500,569.2821274730833,6236.333935545289,5.135388888888889,1.0074468853798426,0.1961773309046936,4500.0,3.5,48.1631419939577,508.579364643413,12.05,0.0,43.961290503813366,5.981127959702499
2784,4148,10300,345,278.6882747963567,5780.03810154891,1.6768055555555557,0.1991721894322812,0.1187807308798496,3500.0,2.5,31.155015197568392,415.3097923191604,17.5,0.0,208.8957777428975,24.737657890606283
2785,4149,1249,273,331.17244571184915,6322.658754180353,2.7991388888888893,0.3519729440644177,0.1257432939328467,3000.0,2.0,41.16962457337885,1188.488459060099,-7.56,0.0,22.74038117409414,3.2076455096485996
2786,4150,7123,299,474.6972709223198,4686.129732791993,8.825833333333334,0.997370429071912,0.1130058082226696,3500.0,2.5,53.80874316939891,502.0566264336757,23.46,0.0,41.49669837608056,5.382245036897578
2787,4152,364,547,475.3218175073681,5746.552217950163,6.401055555555555,0.5765761467170034,0.0900751667772334,2500.0,1.6,57.54545454545455,118.52463566967384,27.91,0.0,458.63023109363974,54.69901838731483
2788,4153,636,490,521.2942321358136,5406.812248284794,1.3725277777777782,0.1905662639540092,0.1388432839316008,3500.0,3.6,9.546285714285714,109.2000863027133,6.92,0.0,157.56503529326807,27.49456991694611
2789,4157,1789,340,578.4428065928317,6256.501950585174,4.101333333333333,0.5535641154117924,0.1349717446550209,3500.0,3.5,29.16114457831325,408.98002644060404,20.25,0.0,82.17814848532876,14.145419001572982
2790,4158,1888,340,424.95354464646346,3956.160197455411,3.781444444444445,0.5602260094822773,0.1481513262227983,3500.0,3.5,50.462745098039214,193.4228192064227,17.57,0.0,61.99813060489313,9.365675048824281
2791,4159,2130,575,309.59507987871797,5808.141004397961,4.945472222222222,0.6217798264832297,0.1257270890511313,4000.0,2.4,38.589442815249264,432.8074176298085,11.45,0.0,135.74805844975504,20.385373965150926
2792,4161,1228,465,224.1074030254556,5226.270197210789,1.3564166666666666,0.2967868076637634,0.2188020944870161,4000.0,3.5,99.03561643835616,580.2867955728433,-9.8,0.0,19.55000337366544,2.990332406361525
2793,4163,3271,624,367.1337637019457,3532.2514659757258,0.8147777777777778,0.1084123306322877,0.1330575447552965,,2.5,48.5129411764706,406.0806104328525,5.96,0.0,34.81161757650011,4.8920603111578576
2794,4164,1574,429,514.2587737823834,3730.364035781704,7.548861111111113,0.9538930702371192,0.1263625143179666,3500.0,3.5,32.599523241954714,603.6150833046499,14.51,0.0,84.22744218845257,13.672190014558433
2795,4165,969,179,560.4512729835835,5058.575015150202,3.2086111111111117,0.3911185339091296,0.1218965216927423,3500.0,2.5,17.07471264367816,317.4934476140049,2.17,0.0,42.62170113591697,4.727785336084907
2796,4167,795,162,269.38757699549836,5757.045850856498,6.770138888888887,0.9840578613819552,0.1453526844178906,3500.0,2.5,53.86506024096386,431.60976660264237,1.77,0.0,285.80563337490236,35.32429176543737
2797,4168,3223,366,605.7649414999262,5315.523345566145,18.029833333333336,2.7543261911367516,0.1527649280065494,4500.0,3.5,28.10824742268041,214.74987981411252,15.05,0.0,277.6327742450092,41.26973671209596
2798,4170,664,337,378.9106293270172,5036.864693213437,3.5339444444444448,0.4363648847449504,0.1234781394005613,3000.0,2.5,38.111291632818855,523.2404496311414,5.75,0.0,227.69519335975858,45.306696637911145
2799,4171,8682,488,397.5667137926194,6048.995710208871,10.677805555555556,1.4594455685804395,0.1366802908132284,3500.0,2.5,51.91962174940898,864.350928140781,11.78,0.0,132.44364541557184,23.100635828297413
2800,4172,1984,268,249.7842676896145,7006.483814929901,2.2706111111111107,0.3785259912177445,0.166706658557887,2500.0,2.0,41.48672566371681,318.0374817967962,23.88,0.0,134.52151665852185,17.004124296723266
2801,4173,589,161,384.6872629815191,6093.021971134333,13.073972222222226,1.7182820031619974,0.1314276926672203,3000.0,1.8,35.51382823871907,538.9527968392597,19.14,0.3,178.66636590782895,24.814773042754023
2802,4174,3221,185,167.41164773119309,4827.692307692308,1.8416666666666668,0.2477996622334915,0.1345518527964659,2500.0,1.5,51.24087591240876,242.7430227565479,10.92,0.5,54.82879354922241,7.885823766916657
2803,4175,862,557,275.67211614352556,6252.8751606962915,6.395777777777778,1.6034345744099099,0.2507020459624265,4500.0,3.5,33.40988372093023,502.00933448427605,1.4,0.0,218.14203664873736,31.614787920106863
2804,4177,1310,340,545.2425778819854,4898.152187680314,3.947611111111111,0.6969119129822865,0.1765401640046885,3500.0,3.5,23.52870813397129,291.9715959289984,-6.79,0.0,306.16539344285763,46.590385958695734
2805,4178,1377,135,623.2445944410001,5985.763610479292,3.3950555555555555,0.4039037567151346,0.1189682319201522,3500.0,2.5,36.844907407407405,745.1197419867664,-8.01,0.0,110.38208155582338,18.20130068207726
2806,4180,1173,248,392.18745637419664,3207.2817542407947,5.035416666666666,0.6097610030457254,0.12109444826725199,4000.0,2.4,33.076470588235296,492.0471859470703,-6.57,0.0,48.04708503327288,6.19727196939028
2807,4181,583,164,464.4488357633884,6543.6098701515575,5.3224444444444465,1.126965691350544,0.2117383662927413,4500.0,3.5,58.182266009852206,447.20224985270266,24.63,0.0,24.398779973484075,3.633076080707757
2808,4182,558,546,287.08946849066837,5135.802469135802,5.528249999999999,0.6752269323892123,0.1221411716889092,2500.0,1.5,12.81132075471698,53.106918238993714,21.19,0.0,65.87743251384003,9.919045236458869
2809,4184,901,257,252.35897713483746,4673.2300119217025,2.8892222222222217,0.3070711952554453,0.1062816120178059,3000.0,2.4,33.56892230576441,414.4066699411847,9.21,0.0,57.2280826727182,7.716839626849811
